TIME,CH0,CH1,
14:53:39,22.554419,0.000000,
14:53:48:894,21.500000,200.000000,
14:53:49,21.624338,0.000000,
14:53:59:045,21.500000,200.000000,
14:53:59,20.791767,0.000000,
14:54:08:894,21.500000,200.000000,
14:54:09,19.989201,0.000000,
14:54:18:892,21.500000,200.000000,
14:54:19,19.179131,0.000000,
14:54:28:900,21.500000,200.000000,
14:54:28,18.474072,0.000000,
14:54:38:946,21.500000,200.000000,
14:54:39,17.799013,0.000000,
14:54:48:898,21.500000,200.000000,
14:54:48,17.191462,0.000000,
14:54:58:843,21.500000,200.000000,
14:54:59,16.486401,0.000000,
14:55:08:845,21.500000,200.000000,
14:55:08,15.908851,0.000000,
14:55:18:948,21.500000,200.000000,
14:55:19,15.406310,0.000000,
14:55:28:894,21.500000,200.000000,
14:55:28,14.851264,0.000000,
14:55:38:943,21.500000,200.000000,
14:55:39,14.371222,0.000000,
14:55:48:901,21.500000,200.000000,
14:55:49,13.868678,0.000000,
14:55:59:050,21.500000,200.000000,
14:55:59,13.441143,0.000000,
14:56:08:896,21.500000,200.000000,
14:56:09,13.036108,0.000000,
14:56:19:099,21.500000,200.000000,
14:56:19,12.586071,0.000000,
14:56:28:847,21.500000,200.000000,
14:56:28,12.181036,0.000000,
14:56:39:048,21.500000,200.000000,
14:56:39,11.828506,0.000000,
14:56:48:843,21.500000,200.000000,
14:56:48,11.475976,0.000000,
14:56:58:841,21.500000,200.000000,
14:56:59,11.123446,0.000000,
14:57:08:896,21.500000,200.000000,
14:57:08,10.770916,0.000000,
14:57:19:047,21.500000,200.000000,
14:57:19,10.493391,0.000000,
14:57:28:891,21.500000,200.000000,
14:57:29,10.215868,0.000000,
14:57:38:942,21.500000,200.000000,
14:57:39,9.938344,0.000000,
14:57:48:961,21.500000,200.000000,
14:57:49,9.638321,0.000000,
14:57:59:052,21.500000,200.000000,
14:57:59,9.360796,0.000000,
14:58:08:895,21.500000,200.000000,
14:58:09,9.165779,0.000000,
14:58:19:099,21.500000,200.000000,
14:58:19,8.933261,0.000000,
14:58:28:849,21.500000,200.000000,
14:58:28,8.730742,0.000000,
14:58:38:895,21.500000,200.000000,
14:58:39,8.528225,0.000000,
14:58:48:897,21.500000,200.000000,
14:58:49,8.303206,0.000000,
14:58:58:848,21.500000,200.000000,
14:58:59,8.100689,0.000000,
14:59:08:841,21.500000,200.000000,
14:59:08,7.950676,0.000000,
14:59:19:061,21.500000,200.000000,
14:59:19,7.748159,0.000000,
14:59:28:951,21.500000,200.000000,
14:59:29,7.598146,0.000000,
14:59:39:048,21.500000,200.000000,
14:59:39,7.395629,0.000000,
14:59:48:943,21.500000,200.000000,
